lat,lng,country
11.0804,77.33,India
32.55,35.85,Jordan
45.02,39,Russia
41.65,-0.89,Spain
44.41,8.93,Italy
-13.9833,33.7833,Malawi
37.9204,40.23,Turkey
19.7334,-101.1895,Mexico
54.33,48.41,Russia
52.1003,5.12,Netherlands
-5.03,18.85,Congo (Kinshasa)
25.3487,49.5856,Saudi Arabia
-7.78,110.375,Indonesia
51.1104,17.03,Poland
49.883,-97.166,Canada
56.85,53.23,Russia
26.6444,-81.9956,United States
42.1155,-72.5395,United States
39.5401,115.79,China
22.2304,84.83,India
46.84,-71.2456,Canada
52.4058,16.8999,Poland
38.8674,-104.7606,United States
31.26,32.29,Egypt
19.17,77.3,India
32.989,70.5986,Pakistan
15.3333,38.9333,Eritrea
51.55,0.72,United Kingdom
51.05,13.75,Germany
50.0804,8.25,Germany
32.8137,-79.9643,United States
40.2248,116.1944,China
-0.907,119.833,Indonesia
32.4904,119.9,China
37.05,114.5,China
41.28,36.3437,Turkey
25.7,32.65,Egypt
15.865,74.505,India
-0.03,109.32,Indonesia
57.62,39.87,Russia
36.36,6.5999,Algeria
-3.33,114.5801,Indonesia
24.4667,54.3666,United Arab Emirates
42.9615,-85.6557,United States
35.4722,44.3923,Iraq
16.8604,74.575,India
10.1304,-64.72,Venezuela
33.6095,-117.6551,United States
-29.92,-51.18,Brazil
31.0504,31.38,Egypt
26.5504,31.7,Egypt
53.355,83.745,Russia
29.5,60.83,Iran
34.4415,70.4361,Afghanistan
42.6664,-73.7987,United States
-6.7629,-79.8366,Peru
29.0989,-110.9541,Mexico
-20.1666,57.5,Mauritius
19.97,79.3,India
23.4895,46.7564,Saudi Arabia
32.4721,44.4217,Iraq
37.3,49.63,Iran
36.65,138.17,Japan
18.7,105.68,Vietnam
7.1604,3.35,Nigeria
38.735,35.49,Turkey
-0.5,117.15,Indonesia
26.45,74.64,India
51.53,7.45,Germany
43.13,131.91,Russia
52.32,104.245,Russia
35.9692,-83.9495,United States
-15.79,34.9899,Malawi
30.4423,-91.1314,United States
30.5,117.05,China
20.47,85.8899,India
35.6577,139.3261,Japan
48.455,135.12,Russia
19.1773,-96.16,Mexico
0.52,25.22,Congo (Kinshasa)
0.3854,9.458,Gabon
30.3,57.08,Iran
37.53,45,Iran
28.0304,73.3299,India
14.83,-91.52,Guatemala
35.353,-119.036,United States
41.228,-111.9677,United States
44.3,86.0299,China
1.53,110.33,Malaysia
39.3004,112.42,China
37.92,139.04,Japan
4.8104,-75.68,Colombia
22.203,113.545,Macau
41.3112,-72.9245,United States
7.69,-5.03,Côte D’Ivoire
34.037,-80.9042,United States
41.0802,-81.5219,United States
3.6204,98.5001,Indonesia
26.2361,50.5831,Bahrain
-18.9,-48.28,Brazil
-23.49,-47.47,Brazil
30.9504,117.78,China
37.5,122.1,China
-38,-57.58,Argentina
20.025,-75.8213,Cuba
43.17,124.33,China
31.586,130.5611,Japan
-7.565,110.825,Indonesia
42.98,47.5,Russia
21.7784,72.13,India
5.008,7.85,Nigeria
51.45,-2.5833,United Kingdom
29.39,71.675,Pakistan
34.2704,-6.58,Morocco
-21.17,-47.83,Brazil
36.56,136.64,Japan
51.78,55.11,Russia
36.7204,-4.42,Spain
28.3838,36.555,Saudi Arabia
10.17,-64.68,Venezuela
29.73,115.98,China
29.17,75.725,India
39.4763,75.9699,China
-25.9696,32.46,Mozambique
22.0904,82.16,India
32.0854,72.675,Pakistan
51.3354,12.41,Germany
54.6834,25.3166,Lithuania
8.7304,77.69,India
21.17,-86.83,Mexico
32.4,119.43,China
53.75,87.115,Russia
35.54,35.78,Syria
25.88,-97.5,Mexico
57.75,12,Sweden
35.0064,135.8674,Japan
56.495,84.975,Russia
35.6,103.2,China
33.8455,132.7658,Japan
49.4304,1.08,France
22.5804,113.08,China
17.0827,-96.6699,Mexico
-19.82,34.87,Mozambique
16.33,80.45,India
34.42,35.87,Lebanon
34.796,48.515,Iran
38.3204,116.87,China
5.98,116.11,Malaysia
-28.0815,153.4482,Australia
27.1304,115,China
-23.3,-51.18,Brazil
54.62,39.72,Russia
30.32,112.23,China
6.33,-75.57,Colombia
57.14,65.53,Russia
52.62,39.64,Russia
26.7204,88.455,India
39.795,30.53,Turkey
